id,title,year,venue_id
89055,The BBN BYBLOS Continuous Speech Recognition system,1989,8
89056,Speaker adaptation from limited training in the BBN BYBLOS Speech Recognition system,1989,8
89057,The BBN Spoken Language System,1989,8
89058,Portability in the Janus Natural Language Interface,1989,8
89059,The design of voice-driven interfaces,1989,8
89060,Recent progress in the SPHINX Speech Recognition system,1989,8
89061,The MINDS system: using context and dialog to enhance speech,1989,8
89062,Understanding spontaneous speech,1989,8
89063,Dragon,1989,8
89064,Goats to sheep: can recognition rate be improved for poor Tangora speaker?,1989,8
89065,ISI,1989,8
89066,A flexible interface for linking applications to Penman's sentence generator,1989,8
89067,Lincoln,1989,8
89068,The Lincoln Continuous Speech Recognition system: recent developments and results,1989,8
89069,TINA: a probabilistic syntactic parser for speech understanding systems,1989,8
89070,The MIT SUMMIT Speech Recognition system: a progress report,1989,8
89071,Plans for a task-oriented evaluation of natural language understanding systems,1989,8
89072,Analyzing telegraphic messages,1989,8
89073,Lexicalized TAGs, parsing and lexicons,1989,8
89074,Elements of a computational model of cooperative response generation,1989,8
89075,Information and syntax in spoken language systems,1989,8
89076,Auditory speech preprocessors,1989,8
89077,SRI's DECIPHER system,1989,8
89085,Integrating speech and natural-language processing,1989,8
89086,Chart parsing of stochastic spoken language models,1989,8
89087,Initial draft guidelines for the development of the next-generation spoken language systems speech research database,1989,8
89088,Analyzing explicitly-structured discourse in a limited domain: trouble and failure reports,1989,8
89089,Reducing search by partitioning the word network,1989,8
89090,Porting PUNDIT to the resource management domain,1989,8
89091,Automatic discovery of contextual factors describing phonological variation,1989,8
89092,Probabilistic models of short and long distance word dependencies in running text,1989,8
92957,EMPATH: face, emotion, and gender recognition using holons,1990,5
99627,Proceedings of the workshop on Speech and Natural Language,1991,8
99628,The ESPRIT project polyglot,1991,8
99629,Some notes about research and development at KTH,1991,8
99630,Speech understanding and dialouge over the telephone: an overview of the ESPRIT SUNDIAL,1991,8
99631,Machine translation in Europe,1991,8
99632,ESPRIT, the European strategic programme for research and development in information technology,1991,8
99633,Session 2: DARPA resource management and ATIS benchmark test poster session,1991,8
99634,Dragon systems resource management benchmark results—February 1991,1991,8
99635,New results with the Lincoln tied-mixture HMM CSR system,1991,8
99636,Modelling context dependency in acoustic-phonetic and lexical representations,1991,8
99637,BYBLOS speech recognition benchmark results,1991,8
99638,Integration of diverse recognition methodologies through reevaluation of N-best sentence hypotheses,1991,8
99639,Development and preliminary evaluation of the MIT ATIS system,1991,8
99640,Speech recognition in SRI's resource management and ATIS systems,1991,8
99641,Evaluation of the CMU ATIS system,1991,8
99642,Using semantics to correct parser output for ATIS utterances,1991,8
99643,BBN HARC and Delphi results on the ATIS benchmarks—February 1991,1991,8
99644,A textual processor to handle ATIS queries,1991,8
99645,Stochastic representation of conceptual structure in the ATIS task,1991,8
99646,Augmented role filling capabilities for semantic interpretation of spoken language,1991,8
99647,The use of commercial natural language interface in the ATIS task,1991,8
99648,Machine translation using abductive inference,1991,8
99649,A statistical approach to sense disambiguation in machine translation,1991,8
99650,Identifying word correspondence in parallel texts,1991,8
99651,Field test evaluations and optimization of speaker independent speech recognition for telephone applications,1991,8
99652,Collection and analysis of data from real users: implications for speech recognition/understanding systems,1991,8
99653,Autodirective microphone systems for natural communication with speech recognizers,1991,8
99654,Signal representation, attribute extraction and, the use of distinctive features for phonetic classification,1991,8
99655,The mapping unit approach to subcategorization,1991,8
99656,A template matcher for robust NL interpretation,1991,8
99657,Fixed and flexible phrase structure: coordination in tree adjoining grammars,1991,8
99658,Efficient bottom-up parsing,1991,8
99659,Partial parsing: a report on work in progress,1991,8
99660,Analog implementations of auditory models,1991,8
99661,Using spoken language to facilitate military transportation planning,1991,8
99662,Statistical agenda parsing,1991,8
99663,Some results on stochastic language modeling,1991,8
99664,Parsing the voyager domain using pearl,1991,8
99665,Calculating the probability of a partial parse of a sentence,1991,8
99667,A Trellis-based algorithm for estimating the parameters of a hidden stochastic context-free grammar,1991,8
99669,Continuous speech recognition using segmental neural nets,1991,8
99670,A dynamical system approach to approach to continuous recognition,1991,8
99671,Recent progress in robust vocabulary-independent speech recognition,1991,8
99672,Context dependent modeling of phones in continuous speech using decision trees,1991,8
99676,Bayesian learning of Gaussian mixture densities for hidden Markov models,1991,8
99677,A study on speaker-adaptive speech recognition,1991,8
99678,Experience with a stack decoder-based HMM CSR and back-OFF N-gram language models,1991,8
99681,Lexical access with a statistically-derived phonetic network,1991,8
99683,A dynamic language model for speech recognition,1991,8
99684,Third message understanding evaluation and conference (MUC-3): phase 1 status report,1991,8
99686,Procedure for quantitatively comparing the syntactic coverage of English grammars,1991,8
99690,Evaluating text categorization,1991,8
99691,A proposal for incremental dialogue evaluation,1991,8
99692,Discourse structure in the TRAINS project,1991,8
99693,Studies in part of speech labelling,1991,8
99695,Lexico-semantic pattern matching as a companion to parsing in text understanding,1991,8
99696,Automatic acquisition of subcategorization frames from tagged text,1991,8
99698,Fast text processing for information retrieval,1991,8
99699,Collection of spontaneous speech for the ATIS domain and comparative analyses of data collected at MIT and TI,1991,8
99949,Integrating syntax and semantics into spoken language understanding,1991,8
99950,The use of prosody in syntactic disambiguation,1991,8
99951,Predicting intonational boundaries automatically from text: the ATIS domain,1991,8
99952,Use of prosody in syntactic disambiguation: an analysis-by-synthesis approach,1991,8
99953,A proposal for lexical disambiguation,1991,8
99954,Interactive problem solving and dialogue in the ATIS domain,1991,8
103469,Efficient, high-performance algorithms for N-Best search,1990,8
103477,A tree-trellis based fast search for finding the N Best sentence hypotheses in continuous speech recognition,1990,8
103478,Finite-state approximations of grammars,1990,8
103480,The use of relative duration in syntactic disambiguation,1990,8
103483,Picking reference events from tense trees: a formal, implementable theory of English tense-aspect semantics,1990,8
103485,Interactive multimedia explanation for equipment maintenance and repair,1990,8
103487,Two recent developments in tree adjoining grammars: semantics and efficient processing,1990,8
103489,Performing integrated syntactic and semantic parsing using classification,1990,8
103490,Making abduction more efficient,1990,8
103492,Evaluating natural language generated database records,1990,8
103493,Toward a real-time spoken language system using commercial hardware,1990,8
103495,The dragon continuous speech recognition system: a real-time implementation,1990,8
103496,Hardware for hidden Markov-model-based, large-vocabulary real-time speech recognition,1990,8
103497,Evaluation of spoken language systems: the ATIS domain,1990,8
103498,The ATIS spoken language systems pilot corpus,1990,8
103499,Developing an evaluation methodology for spoken language systems,1990,8
103500,Beyond class A: a proposal for automatic evaluation of discourse,1990,8
103502,DARPA ATIS test results June 1990,1990,8
103504,BBN ATIS system progress report—June 1990,1990,8
103506,The CMU air travel information service: understanding spontaneous speech,1990,8
103507,Designing the human machine interface in the ATIS domain,1990,8
103509,Management and evaluation of interactive dialog in the air travel domain,1990,8
103511,SRI's experience with the ATIS evaluation,1990,8
103515,An algorithm for determining talker location using a linear microphone array and optimal hyperbolic fit,1990,8
103516,Towards environment-independent spoken language systems,1990,8
103517,Phoneme-in-context modeling for dragon's continuous speech recognizer,1990,8
103519,A rapid match algorithm for continuous speech recognition,1990,8
103521,Fast search algorithms for connected phone recognition using the stochastic segment model,1990,8
103523,Automatic phonetic baseform determination,1990,8
103526,On the interaction between true source, training, and testing language models,1990,8
103527,Continuous speech recognition from a phonetic transcription,1990,8
103528,Algorithms for an optimal A search and linearizing the search in the stack decoder,1990,8
103532,A comparison of speech and typed input,1990,8
103535,The design of a spoken language interface,1990,8
103537,Syntactic and semantic knowledge in the DELPHI unification grammar,1990,8
103539,On deftly introducing procedural elements into unification parsing,1990,8
103541,Spoken language understanding for personal computers,1990,8
103542,Using explanation-based learning to increase performance in a large-scale NL query system,1990,8
103543,Structural ambiguity and lexical relations,1990,8
103544,Statistical parsing of messages,1990,8
103546,Generating a grammar for statistical training,1990,8
103549,Deducing linguistic structure from the statistics of large corpora,1990,8
103551,Poor estimates of context are worse than none,1990,8
103560,Representation quality in text classification: an introduction and experiment,1990,8
103562,DARPA resource management benchmark test results June 1990,1990,8
103563,A new paradigm for speaker-independent training and speaker adaptation,1990,8
103564,Implementation aspects of large vocabulary recognition based on intraword and interword phonetic units,1990,8
103565,Improved acoustic modeling for continuous speech recognition,1990,8
103566,Improved hidden Markov modeling for speaker-independent continuous speech recognition,1990,8
103591,The Lincoln tied-mixture HMM continuous speech recognizer,1990,8
103592,Training set issues in SRI's DECIPHER speech recognition system,1990,8
103593,Recognition of noisy speech: using minimum-mean log-spectral distance estimation,1990,8
103594,Experiments with tree-structured MMI encoders on the RM task,1990,8
103595,Towards understanding text with a very large vocabulary,1990,8
103596,Generic text processing: a progress report,1990,8
103597,Extending the lexicon by exploiting subregularities,1990,8
103598,Machine translation again?,1990,8
103599,Spoken letter recognition,1990,8
103600,An 86,000-word recognizer based on phonemic models,1990,8
103601,Recent results from the ARM continuous speech recognition project,1990,8
103602,Opportunities for advanced speech processing in military computer-based systems,1990,8
105537,Proceedings of the 1990 conference on Advances in neural information processing systems 3,1990,5
105538,Studies of a model for the development and regeneration of eye-brain maps,1990,5
105539,Development and spatial structure of cortical feature maps: a model study,1990,5
105540,Interaction among ocularity, retinotopy and on-center/off-center pathways during development,1990,5
105541,Simple spin models for the development of ocular dominance columns and iso-orientation patches,1990,5
105542,A recurrent neural network model of velocity storage in the vestibulo-ocular reflex,1990,5
105543,Self-organization of Hebbian synapses in Hippocampal neurons,1990,5
105544,Cholinergic modulation may enhance cortical associative memory function,1990,5
105545,Order reduction for dynamical systems describing the behavior of complex neurons,1990,5
105546,Stochastic neurodynamics,1990,5
105547,Dynamics of learning in recurrent feature-discovery networks,1990,5
105548,A Lagrangian approach to fixed points,1990,5
105549,Associative memory in a network of biological neurons,1990,5
105550,CAM storage of analog patterns and continuous sequences with 3N2 weights,1990,5
105551,Connection topology and dynamics in lateral inhibition networks,1990,5
105552,Shaping the state space landscape in recurrent networks,1990,5
105553,Adjoint-functions and temporal learning algorithms in neural networks,1990,5
105554,Phase-coupling in two-dimensional networks of interacting oscillators,1990,5
105555,Oscillation onset in neural delayed feedback,1990,5
105556,Analog computation at a critical point: a novel function for neuronal oscillations?,1990,5
105557,Modeling time varying system using hidden control neural architecture,1990,5
105558,The Tempo 2 algorithm: adjusting time-delays by supervised learning,1990,5
105559,A theory for neural networks with time delays,1990,5
105560,ART2/BP architecture for adaptive estimation of dynamic processes,1990,5
105561,Statistical mechanics of temporal association in neural networks with delayed interactions,1990,5
105562,Learning time-varying concepts,1990,5
105563,The recurrent cascade-correlation architecture,1990,5
105564,Continuous speech recognition by linked predictive neural networks,1990,5
105565,A recurrent neural network for word identification from continuous phoneme strings,1990,5
105566,Connectionist approaches to the use of Markov models for speech recognition,1990,5
105567,Spoken letter recognition,1990,5
105568,Speech recognition using demi-syllable neural prediction model,1990,5
105569,RecNorm: Simultaneous normalisation and classification applied to speech recognition,1990,5
105570,Exploratory feature extraction in speech signals,1990,5
105571,Phonetic classification and recognition using the multi-layer perceptron,1990,5
105572,From speech recognition to spoken language understanding: the development of the MIT SUMMIT and VOYAGER systems,1990,5
105573,Speech recognition using connectionist approaches,1990,5
105574,Natural dolphin echo recognition using an integrator gateway network,1990,5
105575,Signal processing by multiplexing and demultiplexing in neurons,1990,5
105576,Applications of neural networks in video signal processing,1990,5
105577,Discovering viewpoint-invariant relationships that characterize objects,1990,5
105578,A neural network approach for three-dimensional object recognition,1990,5
105579,A second-order translation, rotation and scale invariant neural network,1990,5
105580,Learning to see rotation and dilation with a Hebb rule,1990,5
105581,Stereopsis by neural network which learns the constraints,1990,5
105582,Grouping contours by iterated pairing network,1990,5
105583,Neural dynamics of motion segmentation and grouping,1990,5
105584,A multiscale adaptive network model of motion computation in primates,1990,5
105585,Qualitative structure from motion,1990,5
105586,Optimal sampling of natural images: a design principle for the visual system?,1990,5
105588,A VLSI neural network for color constancy,1990,5
105590,Optimal filtering in the salamander retina,1990,5
105592,A four neuron circuit accounts for change sensitive inhibition in salamander retina,1990,5
105593,Feedback synapse to cone and light adaptation,1990,5
105594,An analog VLSI chip for finding edges from zero-crossings,1990,5
105595,A delay-line based motion detection chip,1990,5
105597,Neural networks structured for control application to aircraft landing,1990,5
105598,Real-time autonomous robot navigation using VLSI neural networks,1990,5
105600,Rapidly adapting artificial neural networks for autonomous navigation,1990,5
105601,Learning trajectory and force control of an artificial muscle arm by parallel-hierarchical neural network model,1990,5
105603,Proximity effect corrections in electron beam lithography using a neural network,1990,5
105604,Planning with an adaptive world model,1990,5
105605,A connectionist learning control architecture for navigation,1990,5
105607,Navigating through temporal difference,1990,5
105608,Integrated modeling and control based on reinforcement learning and dynamic programming,1990,5
105609,A reinforcement learning variant for control scheduling,1990,5
105610,Adaptive range coding,1990,5
105611,Neural network implementation of admission control,1990,5
105612,Reinforcement learning in Markovian and non-Markovian environments,1990,5
105615,A model of distributed sensorimotor control in the cockroach escape turn,1990,5
105617,Flight control in the dragonfly: a neurobiological simulation,1990,5
105618,A novel approach to prediction of the 3-dimensional structures of protein backbones by neural networks,1990,5
105622,Training knowledge-based neural networks to recognize genes in DNA sequences,1990,5
105623,Neural network application to diagnostics and control of vehicle control system,1990,5
105625,Lg depth estimation and ripple fire characterization using artificial neural networks,1990,5
105627,A B-P ANN commodity trader,1990,5
105628,Integrated segmentation and recognition of hand-printed numerals,1990,5
105639,SexNet: A neural network identifies sex from human faces,1990,5
105640,A neural expert system with automated extraction of fuzzy if-then rules and its application to medical diagnosis,1990,5
105641,Analog neural networks as decoders,1990,5
105642,Distributed recursive structure processing,1990,5
105645,Translating locative prepositions,1990,5
105649,A short-term memory architecture for the learning of morphophonemic rules,1990,5
105651,Exploiting syllable structure in a connectionist phonology model,1990,5
105652,Language induction by phase transition in dynamical recognizers,1990,5
105653,Discovering discrete distributed representations with iterative competitive learning,1990,5
105654,Direct memory access using two cues: finding the intersection of sets in a connectionist model,1990,5
105656,An attractor neural network model of recall and recognition,1990,5
105658,ALCOVE: a connectionist model of human category learning,1990,5
105659,Spherical units as dynamic consequential regions: implications for attention, competition and categorization,1990,5
105661,Connectionist implementation of a theory of generalization,1990,5
105663,Adaptive spline networks,1990,5
105664,Multi-layer perceptrons with B-spline receptive field functions,1990,5
105666,Bumptrees for efficient function, constraint, and classification learning,1990,5
105667,Basis-function trees as a generalization of local variable selection methods for function approximation,1990,5
105668,Generalization properties of radial basis functions,1990,5
105670,Learning by combining memorization and gradient descent,1990,5
105672,Sequential adaptation of radial basis function neural networks and its application to time-series prediction,1990,5
105674,Oriented non-radial basis functions for image coding and analysis,1990,5
105676,Computing with arrays of bell-shaped and sigmoid functions,1990,5
105677,Discrete affine wavelet transforms for analysis and synthesis of feedforward neural networks,1990,5
105679,Extensions of a theory of networks for approximation and learning: outliers and negative examples,1990,5
105680,How receptive field parameters affect neural learning,1990,5
105682,A competitive modular connectionist architecture,1990,5
105684,Evaluation of adaptive mixtures of competing experts,1990,5
105685,A framework for the cooperation of learning algorithms,1990,5
105687,Connectionist music composition based on melodic and stylistic constraints,1990,5
105689,Using genetic algorithms to improve pattern classification performance,1990,5
105692,Evolution and learning in neural networks: the number and distribution of learning trials affect the rate of evolution,1990,5
105694,Designing linear threshold based neural network pattern classifiers,1990,5
106559,On stochastic complexity and admissible models for neural network classifiers,1990,5
106560,A method for the efficient design of Boltzmann machines for classification problems,1990,5
106561,Note on learning rate schedules for stochastic optimization,1990,5
106562,Convergence of a neural network classifier,1990,5
106563,Learning theory and experiments with competitive networks,1990,5
106564,Transforming neural-net output levels to probability distributions,1990,5
106565,Back propagation is sensitive to initial conditions,1990,5
106566,Closed-form inversion of backpropagation networks: theory and optimization issues,1990,5
106567,Generalization by weight-elimination with application to forecasting,1990,5
106568,The devil and the network: what sparsity implies to robustness and memory,1990,5
106569,Generalization dynamics in LMS trained linear networks,1990,5
106570,Dynamics of generalization in linear perceptrons,1990,5
106571,Constructing hidden units using examples and queries,1990,5
106572,Can neural networks do better than the Vapnik-Chervonenkis bounds?,1990,5
106573,Second order properties of error surfaces: learning time and generalization,1990,5
106574,Chaitin-Kolmogorov complexity and generalization in neural networks,1990,5
106575,Asymptotic slowing down of the nearest-neighbor classifier,1990,5
106576,Remarks on interpolation and recognition using neural nets,1990,5
106577,&egr;-Entropy and the complexity of feedforward neural networks,1990,5
106578,On the circuit complexity of neural networks,1990,5
106579,Comparison of three classification techniques, CART, C4.5 and multi-layer perceptrons,1990,5
106580,A comparative study of the practical characteristics of neural network and conventional pattern classifiers,1990,5
106581,Time trials on second-order and variable-learning-rate algorithms,1990,5
106582,Kohonen networks and clustering: comparative performance in color clustering,1990,5
106583,VLSI implementations of learning and memory systems: a review,1990,5
106584,Compact EEPROM-based weight functions,1990,5
106585,An analog VLSI splining network,1990,5
106586,Relaxation networks for large supervised learning problems,1990,5
106587,Design and implementation of a high speed CMAC neural network using programmable CMOS logic cell arrays,1990,5
106588,Back propagation implementation on the adaptive solutions CNAPS neurocomputer chip,1990,5
106589,Reconfigurable neural net chip with 32K connections,1990,5
106590,Simulation of the neocognitron on a CCD parallel processing architecture,1990,5
106591,VLSI implementation of TInMANN,1990,5
114581,Training and evaluation of a spoken language understanding system,1990,8
170524,Proceedings of the third European conference on Computer vision (vol. 1),1994,1
170526,Evolutionary fronts for topology-independent shape modeling and recovery,1994,1
170528,Epipolar fields on surfaces,1994,1
170529,Stability and likelihood of views of three dimensional objects,1994,1
170531,Topological reconstruction of a smooth manifold-solid from its occluding contour,1994,1
170532,Optical flow estimation: advances and comparisons,1994,1
170534,Multiple constraints for optical flow,1994,1
170535,Motion field of curves: applications,1994,1
170536,Sufficient image structure for 3-D motion and shape estimation,1994,1
170537,A comparison between the standard Hough transform and the Mahalanobis distance Hough transform,1994,1
170539,Junction classification by multiple orientation detection,1994,1
170541,Following corners on curves and surfaces in the scale space,1994,1
170542,Scale-space properties of quadratic edge detectors,1994,1
170543,A scalar function formulation for optical flow,1994,1
170544,First order optic flow from log-polar sampled images,1994,1
170545,Recursive non-linear estimation of discontinuous flow fields,1994,1
170546,The use of optical flow for the autonomous navigation,1994,1
170547,An image motion estimation technique based on a combined statistical test and spatiotemporal generalised likelihood ratio approach,1994,1
170549,Independent motion segmentation and collision prediction for road vehicles,1994,1
170550,An MRF based motion detection algorithm implemented on analog resistive network,1994,1
170552,Occlusion ambiguities in motion,1994,1
170553,A robust tracking of 3D motion,1994,1
170554,Robust multiple car tracking with occlusion reasoning,1994,1
170556,Shape from motion algorithms: a comparative analysis of scaled orthography and perspective,1994,1
170558,Robust egomotion estimation from affine motion parallax,1994,1
170559,Integrated 3D analysis of flight image sequences,1994,1
170561,Recursive affine structure and motion from image sequences,1994,1
170563,Shape models from image sequences,1994,1
170565,Vibration modes for nonrigid motion analysis in 3D images,1994,1
170566,Applying VC-dimension analysis to object recognition,1994,1
170568,Extraction of groups for recognition,1994,1
170570,Model based pose estimation of articulated and constrained objects,1994,1
170571,Seeing behind occlusions,1994,1
170572,Face recognition: the problem of compensating for changes in illumination direction,1994,1
170573,Learning flexible models from image sequences,1994,1
170574,A direct recovery of superquadric models in range images using recover-and-select paradigm,1994,1
170575,Segmentation and recovery of SHGCs from a real intensity image,1994,1
170576,Recognizing hand gestures,1994,1
170577,Pose refinement of active models using forces in 3D,1994,1
170578,Recovering surface curvature and orientation from texture distortion: a least squares algorithm and sensitivity analysis,1994,1
170579,Direct estimation of local surface shape in a fixating binocular vision system,1994,1
170580,Deriving orientation cues from stereo images,1994,1
170581,Shape-adapted smoothing in estimation of 3-D depth cues from affine distortions of local 2-D brightness structure,1994,1
170726,Utilizing symmetry in the reconstruction of three-dimensional shape from noisy images,1994,1
170728,Consistency and correction of line-drawings, obtained by projections of piecewise planar objects,1994,1
170729,On the enumerative geometry of aspect graphs,1994,1
170730,Geometry-driven curve evolution,1994,1
170731,Quantitative measurement of manufactured diamond shape,1994,1
170732,Hierarchical shape representation using locally adaptive finite elements,1994,1
170733,Camera calibration from spheres images,1994,1
170734,Self calibration of a stereo head mounted onto a robot arm,1994,1
170735,Analytical methods for uncalibrated stereo and motion reconstruction,1994,1
170736,Self-calibration from multiple views with a rotating camera,1994,1
170737,Trilinearity in visual recognition by alignment,1994,1
170738,What can two images tell us about a third one?,1994,1
170739,A robust method for road sign detection and recognition,1994,1
170740,Pose determination and recognition of vehicles in traffic scenes,1994,1
170742,Performance comparison of ten variations on the interpretation-tree matching algorithm,1994,1
170743,Recognition of human facial expressions without feature extraction,1994,1
170744,Pulsed neural networks and perceptive grouping,1994,1
170746,Projective invariants for planar contour recognition,1994,1
170747,Divided we fall: resolving occlusions using causal reasoning,1994,1
170749,Camera calibration of a head-eye system for active vision,1994,1
170750,Linear pushbroom cameras,1994,1
170752,Robust recovery of the epipolar geometry for an uncalibrated stereo rig,1994,1
170753,A stability analysis of the fundamental matrix,1994,1
170755,Canonic representations for the geometries of multiple projective views,1994,1
180651,Proceedings of the third European conference on Computer Vision (Vol. II),1994,1
180652,Active object recognition integrating attention and viewpoint control,1994,1
180653,Active 3D object recognition using 3D affine invariants,1994,1
180654,Grasping the apparent contour,1994,1
180656,Visual tracking of high DOF articulated structures: an application to human hand tracking,1994,1
180657,Integration and control of reactive visual processes,1994,1
180658,Motion estimation on the essential manifold,1994,1
180659,Motion from point matches using affine epipolar geometry,1994,1
180660,Navigation using affine structure from motion,1994,1
180661,A paraperspective factorization method for shape and motion recovery,1994,1
180662,Active camera self-orientation using dynamic image parameters,1994,1
180663,Planning the optimal set of views using the max-min principle,1994,1
180664,On perceptual advantages of eye-head active control,1994,1
180665,Improving registration of 3-D medical images using a mechanical based method,1994,1
180666,Non-iterative contextual correspondence matching,1994,1
180667,A registration method for rigid objects without point matching,1994,1
180668,Non-parametric local transforms for computing visual correspondence,1994,1
180669,Measuring the affine transform using gaussian filters,1994,1
180670,Extracting the affine transformation from texture moments,1994,1
180671,Lack-of-fit detection using the run-distribution test,1994,1
180672,Disparity-space images and large occlusion stereo,1994,1
180673,Registration of a curve on a surface using differential properties,1994,1
180674,Genetic algorithms applied to binocular stereovision,1994,1
180675,Segmentation of echocardiographic images with Markov random fields,1994,1
180676,Unsupervised regions segmentation: real time control of an upkeep machine of natural spaces,1994,1
180677,Synchronous image restoration,1994,1
180678,Parameterfree information-preserving surface restoration,1994,1
180679,Spatially varying illumination: a computational model of converging and diverging sources,1994,1
180680,Recovery of illuminant and surface colors from images based on the CIE daylight,1994,1
180681,3-D stereo using photometric ratios,1994,1
180682,Shape from shading: provably convergent algorithms and uniqueness results,1994,1
180683,Seeing beyond Lambert's law,1994,1
180684,Using 3-dimensional meshes to combine image-based and geometry-based constraints,1994,1
180685,Determination of optical flow and its discontinuities using non-linear diffusion,1994,1
180686,Motion boundary detection in image sequences by local stochastic tests,1994,1
180687,Segmentation of moving objects by robust motion parameter estimation over multiple frames,1994,1
180688,Stochastic motion clustering,1994,1
180689,Association of motion verbs with vehicle movements extracted from dense optical flow fields,1994,1
180690,Comparisons of probabilistic and non-probabilistic Hough transforms,1994,1
180691,Markov random field models in computer vision,1994,1
180692,The role of key-points in finding contours,1994,1
180693,A framework for low level feature extraction,1994,1
180694,Rigid and affine registration of smooth surfaces using differential properties,1994,1
180695,The quadric reference surface: applications in registering views of complex 3D objects,1994,1
