author_id_1,author_id_2,n_colab
8871,939302,1
8871,1138265,1
8871,1517929,1
8871,1555571,1
8950,559837,1
8950,1522103,1
8950,1537479,1
8950,1617173,1
8958,511058,1
8958,707575,1
8958,793044,1
8958,1599685,1
9258,192614,2
9258,199772,1
9258,262349,1
9258,425580,1
9258,462521,1
9258,482828,1
9258,551914,1
9258,709821,1
9258,888778,1
9258,1035878,1
9258,1100387,1
9258,1119541,1
9258,1228967,1
9258,1348751,1
9258,1364506,1
9258,1395887,1
9258,1450352,2
9258,1455334,1
9258,1486455,2
9273,1026080,1
9273,1040082,1
9731,41123,1
9731,883242,1
9841,664514,1
9841,836059,1
9841,948724,1
9841,1329221,1
9841,1659367,1
9961,1107612,2
9961,1154695,2
9961,1511366,1
10022,62099,1
10022,179063,1
10022,329464,1
10022,1297062,1
10100,740495,2
10100,1628988,1
10100,1639629,1
10219,1406131,1
10274,351918,1
10274,1312497,1
10285,308567,1
10285,524247,1
10285,546860,3
10285,1366752,2
10380,479115,1
10432,955145,1
10432,1702811,1
10494,1186909,1
10929,226801,1
10929,411831,2
10929,579716,1
10929,685217,1
10929,728308,1
10929,869128,1
10929,1131775,1
10929,1162502,1
10929,1623487,1
10933,322240,1
10933,564959,1
10933,881915,1
10933,1386293,1
11004,94707,1
11004,143684,1
11004,196603,1
11004,427641,1
11004,434169,1
11004,442902,1
11004,469025,1
11004,526255,1
11004,542651,1
11004,625411,1
11004,640071,1
11004,690472,1
11004,723582,1
11004,760993,1
11004,765867,1
11004,1112973,1
11004,1126347,1
11004,1141215,1
11004,1163303,1
11004,1175570,1
11004,1188721,1
11004,1197747,1
11004,1222874,1
11004,1310042,1
11004,1466827,1
11004,1626237,1
11004,1630078,1
11004,1691075,1
11060,267737,1
11060,508692,1
11060,957685,1
11241,99183,1
11241,256377,1
11241,1080797,1
11241,1419317,1
11241,1419340,1
11241,1489662,1
11246,144857,1
11246,371759,1
11246,564959,1
11246,1185563,1
11287,121560,1
11287,149755,1
11287,1178303,1
11287,1331063,1
11287,1516975,1
11513,87815,1
11513,160955,1
11513,161015,1
11513,1186909,2
11513,1665372,1
11540,1508935,1
11687,168470,1
11687,556586,1
11687,725901,1
11687,1023458,1
11687,1306027,1
11714,805299,1
11714,1203884,1
11714,1707153,1
11721,466010,1
12402,199122,1
12402,1094272,1
12402,1102337,1
12410,501372,1
12410,863526,1
12410,1183850,1
12539,1021062,1
12640,227884,1
12640,779993,1
12640,804747,1
12640,986459,1
12640,994559,1
12640,1070244,1
12640,1349300,1
12640,1365167,2
12665,449174,1
12665,549194,1
12665,1060276,1
12716,172704,1
12716,949817,1
12716,1376707,1
12958,697209,1
12958,1563079,1
13068,1011761,1
13068,1154985,1
13068,1318540,1
13070,465931,1
13070,1417946,1
13070,1635662,1
13150,429001,1
13278,1137739,1
13297,306110,1
13297,1670596,1
13635,929627,1
13635,1014510,1
13635,1612939,1
13666,877619,1
13666,901680,1
13666,1183850,1
13791,1425829,1
13791,1522366,1
13791,1534453,1
13946,1061090,1
13946,1112534,1
13946,1185567,1
13946,1590645,1
14056,253003,1
14056,347730,1
14056,1081087,1
14056,1695306,1
14147,73860,1
14147,74890,1
14147,89715,1
14147,1366752,1
14147,1462658,1
14194,734488,2
14194,1022305,2
14391,992923,1
14391,1665372,1
14400,947318,1
14400,948215,1
14400,1032727,1
14400,1452108,1
14733,1364506,1
14733,1450352,1
14733,1568063,1
15008,546860,2
15055,143692,1
15055,144258,1
15055,567345,2
15055,646125,1
15055,743382,1
15055,951009,1
15055,984033,2
15055,1023703,2
15055,1089709,1
15055,1092421,1
15055,1178523,1
15055,1577302,1
15055,1579666,3
15055,1648038,1
15055,1690915,2
15055,1690953,1
15499,111207,1
15499,367027,1
15499,684853,1
15499,968305,1
15499,1047214,1
15809,1476785,1
15974,523688,1
15974,946559,1
16617,306197,1
16617,339279,1
16617,1378396,1
17405,610381,1
17405,1175006,1
17405,1602992,1
17627,129362,1
17627,134995,1
17627,253093,1
17627,426383,1
17627,547871,1
17627,946342,1
17627,1582870,1
18682,864976,1
20449,1605792,1
20454,565787,1
20454,680277,1
20454,869427,1
20454,969432,1
20678,741456,1
20678,1026080,1
20699,381279,1
20699,1396163,1
20767,459175,1
20767,558514,1
21133,1284091,1
21133,1388746,1
21133,1464661,1
21133,1578759,2
21133,1620840,2
21842,149070,1
21842,363034,1
21842,1074474,1
21842,1390038,1
21842,1537339,1
21842,1563703,1
22022,351068,1
22022,1665534,1
22066,809267,1
22066,1094619,1
22178,693208,1
22178,826189,1
22178,1616881,1
22289,767742,1
22391,966071,1
22727,149381,1
22727,376217,2
22727,463080,1
22727,566392,1
22727,894206,1
22727,1186025,1
22727,1407395,2
22727,1507012,1
22727,1621556,1
22727,1626237,1
22727,1660706,1
22857,131615,1
22857,248951,1
22857,431965,2
22857,482025,1
22857,1437453,2
22931,1362675,1
23216,80907,1
23216,126794,2
23216,144663,1
23216,145707,2
23216,176992,1
23216,188815,1
23216,200773,1
23216,263430,1
23216,460627,3
23216,502893,2
23216,523273,1
23216,545115,1
23216,599377,1
23216,604837,1
23216,662422,1
23216,760272,1
23216,795201,1
23216,886440,1
23216,955185,1
23216,1002301,1
23216,1105765,2
23216,1164437,1
23216,1195902,1
23216,1202555,4
23216,1224077,2
23216,1323047,2
23216,1384971,1
23216,1431529,1
23216,1445294,1
23216,1466580,1
23216,1488486,1
23216,1629453,5
23216,1635359,1
23216,1648356,3
23343,68623,1
23343,327949,1
23343,1535197,1
23494,1141034,1
23580,144984,1
23580,379401,1
23580,480082,1
23580,480767,1
23580,621146,1
23580,835219,1
23580,882960,1
23580,901593,2
23580,1033566,1
23580,1071410,1
23580,1090025,4
23580,1356891,1
24071,315870,1
24071,651749,1
24071,871701,1
24071,883114,1
24071,935725,1
24071,936142,1
24071,1279624,1
24071,1600747,1
24223,128297,1
24223,152369,1
24223,786878,1
24223,794541,1
24223,888198,2
24223,1114942,3
24223,1310964,1
24223,1596728,1
24223,1710401,1
24291,110501,1
24291,193526,1
24291,507212,1
24291,540506,1
24291,880664,1
24291,1098396,2
24311,188491,1
24311,712028,1
24311,814352,1
24311,816756,1
24311,1618379,1
24317,648484,1
24317,715742,1
24317,1492608,1
24317,1549042,1
24399,209107,1
24399,501491,1
24418,887159,1
24505,329899,1
24505,633711,1
24505,875089,2
24522,151576,1
24522,1181419,2
24728,789765,1
24728,1536424,1
24869,685672,1
24869,942986,1
25020,309341,1
25020,743507,1
25020,1188137,1
25020,1471573,1
25020,1558175,1
25243,480154,1
25276,909610,1
25329,251132,1
25330,1249999,1
25390,392730,1
25390,712560,1
25390,1033200,1
25390,1604579,1
25421,864800,1
25421,1090535,1
25421,1298148,1
25421,1517708,1
25468,273782,2
25468,633480,1
25468,1026080,2
25468,1026522,1
25468,1130507,3
25468,1314828,1
25468,1532191,1
25468,1595511,1
25531,1016882,1
25533,200070,3
25533,254060,1
25533,349024,1
25533,379401,1
25533,470023,1
25533,539267,1
25533,556452,4
25533,575038,1
25533,617814,1
25533,626127,2
25533,635502,6
25533,653607,1
25533,667831,1
25533,668433,1
25533,727054,1
25533,791161,2
25533,895745,1
25533,996986,1
25533,1077586,3
25533,1120219,1
25533,1175007,3
25533,1193763,2
25533,1312497,2
25533,1366752,1
25533,1446520,2
25533,1469483,2
25533,1630380,4
25533,1668129,1
25533,1693056,1
25547,324404,1
25547,869385,1
25547,1391143,1
25547,1535755,1
25599,1583426,1
25634,360779,1
25705,1567582,1
25804,442901,1
25804,657646,1
25804,898555,1
25821,1630228,1
25865,1475688,1
25865,1539288,1
26066,769041,2
26066,1020891,1
26066,1524221,2
26099,705460,1
26099,850894,1
26113,804767,1
26118,575972,1
26338,982549,1
26338,1441522,1
26338,1635196,1
26428,54996,1
26428,374304,1
26428,410585,1
26428,512597,1
26428,1173500,1
26502,431572,1
26502,590271,1
26581,264698,2
26581,1091081,3
26581,1592842,2
26621,634352,2
26621,647175,1
26621,723871,1
26621,941501,1
26621,991041,1
26750,200013,2
26750,355931,2
26750,1119348,2
26826,649729,1
26826,1191345,3
26826,1362860,1
26826,1602874,1
26882,301572,2
26882,303231,1
26882,393333,1
26882,1594505,1
26882,1616309,2
26944,1684080,1
27202,315401,1
27202,630245,1
27202,849505,1
27202,867672,1
27202,992328,1
27202,1188511,1
27202,1694590,1
27337,279029,1
27337,747228,1
27337,1355773,1
27337,1635809,1
27348,595886,1
27348,1014823,1
27348,1024989,1
27370,94235,1
27370,794476,1
27370,868927,1
27445,780155,2
27445,1180792,2
27445,1340485,2
27445,1698103,2
27697,805604,1
27697,913481,1
27697,1179823,1
27697,1479900,3
27697,1650436,1
27705,309105,1
27705,1698681,1
27717,480326,1
27717,541768,1
27845,157850,1
27845,307088,1
27845,1337877,1
27845,1478551,1
28279,1448832,1
28279,1473914,1
28849,1317207,1
28962,1356619,1
28962,1594505,1
29195,67783,1
29195,1691606,1
29568,1615886,1
29616,173903,1
29616,547594,1
29746,349358,1
29746,1332313,1
29746,1397672,2
29746,1413318,2
29746,1620959,2
29760,71957,1
29760,370466,1
29760,539498,1
29760,715157,1
29760,730502,1
29760,1237504,1
29760,1305969,1
29792,1390663,1
30468,145216,1
30468,160192,1
30468,685130,1
30468,1218210,1
30468,1675380,1
30766,461470,1
30766,1269223,1
30766,1351785,1
31075,73250,1
31075,656646,1
31075,1394926,1
31075,1489865,1
31220,177349,1
31220,253818,1
31220,307088,1
31220,883802,1
31220,969417,1
31225,349181,1
31225,779611,1
31225,1346610,1
31225,1581233,1
31326,1371073,2
31492,1619653,1
31994,193424,1
32135,69072,1
32135,298727,1
32135,507807,1
32135,1168764,1
32219,890350,1
32219,1206415,1
32219,1369103,1
32223,287007,1
32223,1620959,1
32314,208363,1
32314,902431,1
32314,1117872,1
32314,1607252,1
32626,450666,1
32697,306590,1
32697,467184,1
32697,856706,1
32697,1273672,1
33052,531251,1
33052,1318406,2
33052,1513364,1
33052,1516100,1
33131,406599,1
33131,484695,1
33131,600630,1
33131,758126,1
33131,1156053,1
33131,1480944,2
33131,1556017,3
33131,1615143,1
33165,565734,1
33187,378923,1
33187,1654687,1
33187,1654970,1
33273,934414,1
33308,596734,1
33308,1290115,1
33308,1415798,1
33521,83044,1
33521,368258,2
33521,502983,1
33521,782577,2
33521,1405620,1
33521,1489630,1
33521,1498148,1
33521,1524106,1
33521,1618392,1
33573,485561,1
33573,534262,1
33573,929372,1
33573,1197637,1
33573,1377223,1
33924,253554,1
33924,922973,1
34056,278394,1
34056,656646,1
34056,798818,1
34548,110853,1
34548,312827,1
34548,1073543,1
35009,49200,1
35009,108274,1
35009,131835,1
35009,359002,1
35009,406502,1
35009,461074,1
35009,596719,1
35009,659548,1
35009,682657,1
35009,985671,1
35009,1005627,1
35009,1026080,1
35009,1114529,1
35009,1151784,1
35009,1451569,1
35009,1577739,1
35030,715742,2
35030,982770,1
35030,1635196,1
35105,921756,1
35417,1095299,1
35417,1477390,1
35450,1302047,1
35545,1375337,1
35582,478930,1
35582,624481,1
35582,1248040,1
35930,707998,1
35930,1429555,1
36092,485135,1
36107,274334,1
36107,947311,1
36107,1115577,1
36589,1051157,1
36589,1402449,1
36601,566488,1
36601,602978,1
36601,1007679,1
36601,1298740,1
36614,137781,1
36614,791161,1
36614,1118722,1
36614,1192165,1
36614,1193776,1
36614,1297230,1
36692,264423,1
36692,450172,1
36724,154510,1
36724,393265,1
36724,826424,1
36803,704958,1
36803,973203,1
36803,985597,1
36860,890761,1
36860,1027827,1
36860,1263650,1
36971,335900,1
36971,1233006,1
37042,1087787,1
37234,68987,1
37234,801809,1
37313,912640,1
37313,1162003,1
37372,890764,1
37372,893427,1
37372,1037197,1
37372,1048292,1
37372,1050635,1
37372,1071026,1
37372,1258471,1
37546,103102,1
37546,263376,1
37692,749447,2
37692,861330,1
37692,1108972,2
37692,1135419,1
37692,1585064,1
37692,1662978,1
37714,293583,1
37714,408579,1
37714,1291695,1
37896,167534,1
37896,389918,1
37896,414210,1
37896,434282,1
37896,504143,1
37896,511249,1
37896,586231,3
37896,843032,1
37896,1083606,2
37896,1086673,2
37896,1091929,1
37896,1203743,1
37896,1212315,1
37896,1666764,1
38027,464775,1
38027,1534036,1
38027,1677917,1
38027,1703562,1
38042,822020,1
38042,942630,1
38080,77697,1
38080,215904,1
38080,323120,1
38080,432187,2
38080,518589,3
38080,717686,1
38080,771608,4
38110,312553,1
38110,318257,1
38110,872136,1
38110,920147,1
38110,1270047,1
38110,1480702,1
38147,99209,1
38147,179533,1
38147,386442,2
38147,436462,1
38147,445010,1
38147,470318,1
38147,632392,2
38147,746956,4
38147,751892,1
38147,786975,2
38147,822385,2
38147,948901,2
38147,1062485,1
38147,1271617,1
38211,327166,1
38211,371756,1
38211,830895,1
38211,1319637,1
38211,1388746,1
38557,543654,1
38557,746956,1
38557,897451,1
38557,1018712,1
38772,151892,1
38777,92859,1
38777,183481,1
38777,843432,1
38777,1487412,1
38906,1124344,1
38906,1331132,1
38924,752906,1
38924,1009326,1
38924,1505249,1
38931,112839,1
38959,179551,1
38959,242255,1
38959,442161,1
38959,443636,1
38959,469188,1
38959,648150,1
38959,753809,1
38959,753992,4
38959,1476413,1
38959,1552951,1
39033,178143,1
39033,335900,1
39033,1298403,1
39059,538165,1
39090,123938,1
39090,926577,1
39090,1439231,1
39347,1619990,1
39354,298434,1
39354,769904,1
39354,1658037,1
39738,1087543,1
39983,511873,1
39983,635218,2
39983,993264,1
39983,1420835,1
39983,1501286,1
39983,1601121,1
39983,1669696,1
40033,642801,1
40033,948127,1
40033,1037329,1
40033,1161531,1
40033,1187958,1
40033,1553335,1
40033,1631535,1
40035,62862,1
40035,461318,2
40035,603569,1
40035,632893,1
40035,812451,1
40035,1022126,1
40035,1040769,1
40243,451030,1
40243,458064,1
40243,467278,1
40243,625769,1
40243,687527,2
40243,766657,1
40243,1195789,1
40243,1238687,1
40243,1579136,3
40346,1396180,1
40346,1566787,1
40346,1588038,2
40539,427785,1
40539,427833,1
40539,1207782,1
40558,182038,1
40558,1287018,1
41022,303965,1
41022,628863,1
41022,805181,1
41022,1231247,1
41022,1300465,1
41123,883242,1
41701,1063744,1
41701,1176541,1
41701,1408999,1
41726,934708,1
41757,235290,1
41757,1220436,1
41757,1686268,1
42044,126147,1
42044,164096,1
42044,448853,1
42044,626339,1
42044,778857,1
42044,844313,1
42044,1062427,1
42044,1077118,1
42158,48714,1
42158,73050,1
42158,91932,1
42158,147897,1
42158,149594,1
42158,150420,1
42158,175119,2
42158,300964,1
42158,383623,1
42158,506607,1
42158,517592,2
42158,539505,2
42158,546385,1
42158,546803,2
42158,553059,1
42158,557418,1
42158,576053,1
42158,667831,1
42158,787210,1
42158,805488,1
42158,831462,1
42158,1015210,1
42158,1031512,1
42158,1045730,1
42158,1281090,1
42158,1466400,1
42158,1481609,3
42158,1539010,3
42158,1539011,1
42158,1629915,1
42158,1632492,1
42158,1677786,4
42237,50648,2
42237,506409,1
42237,565893,1
42237,1581086,1
42582,310620,1
42582,418828,1
42582,450760,1
42582,692375,1
42582,805552,1
42582,1248121,1
42582,1369867,1
42582,1509109,1
42593,249607,1
42593,572163,1
42593,1168536,1
42700,210628,1
42700,625964,1
42844,840058,1
42844,943274,1
42844,1502905,1
42849,151846,4
42849,263868,1
42849,335089,2
42849,367047,1
42849,398273,1
42849,946513,1
42849,961190,1
42849,1014019,1
42849,1088915,1
42849,1140466,1
42849,1175070,3
42849,1193003,1
42849,1327115,1
42849,1415869,1
42849,1471573,1
42849,1540887,1
42945,1368416,1
42945,1693155,1
42971,163557,1
42971,170172,1
43425,398678,1
43425,502983,3
43496,59436,1
43496,191434,2
43496,346314,1
43496,662311,1
43496,710259,1
43496,1069471,1
43496,1395947,2
43547,914970,1
43547,995035,1
43742,133998,1
43742,325136,1
43742,1096381,1
43742,1520194,1
43907,1266027,1
43907,1525629,1
44015,784738,1
44015,1102890,1
44015,1507971,1
44109,426046,1
44109,942948,1
44109,969211,1
44365,1428585,1
44735,143684,2
44735,466050,1
44735,1524999,1
44735,1565369,1
44735,1710346,1
45052,485135,1
45188,1206693,1
45362,552343,1
45362,1129150,1
45389,83421,1
45389,421037,1
45389,448195,1
45389,477632,2
45389,660338,1
45389,702967,1
45389,817654,1
45389,913389,1
45389,960163,2
45389,1136102,2
45389,1410547,1
45389,1442253,2
45389,1464976,1
45389,1508968,1
45389,1612232,1
45906,113561,1
45906,1308793,1
46042,1376525,1
46042,1668699,1
46114,458823,1
46114,594021,1
46171,223202,1
46171,1185514,1
46171,1280591,1
46241,1151188,1
46397,332677,1
46397,870308,1
46507,271030,1
46507,1398249,1
46507,1584402,1
46701,271030,1
46701,662407,1
46701,1398249,2
46701,1428394,2
46701,1469208,1
46722,365587,1
46722,1167651,1
46722,1173029,1
46722,1441517,1
46722,1617315,1
46750,339713,1
46750,1611855,1
46942,410175,1
46942,796991,1
47180,232929,1
47180,1615837,1
47303,139492,1
47303,461288,1
47303,918047,1
47638,487373,1
47638,647108,1
47638,804514,1
47698,320694,1
47698,921058,1
47884,79071,2
47884,105664,1
47884,358570,1
47884,368913,1
47884,373219,1
47884,427966,2
47884,431572,5
47884,537454,1
47884,539505,3
47884,621973,1
47884,696416,1
47884,733700,1
47884,782769,5
47884,794151,1
47884,801111,2
47884,903415,1
47884,926258,1
47884,977110,3
47884,979070,1
47884,1028277,1
47884,1096927,2
47884,1111582,1
47884,1133678,1
47884,1260572,1
47884,1265519,1
47884,1317906,2
47884,1369867,2
47884,1490750,1
47884,1528306,1
47884,1542069,1
48290,860703,2
48544,764115,1
48544,919085,1
48544,1280158,1
48566,274920,1
48566,337077,1
48566,1667633,1
48596,720243,2
48596,1267566,2
48645,64318,1
48645,862874,1
48645,1703489,1
48666,232929,1
48714,91932,1
48714,147897,1
48714,149594,1
48714,300964,1
48714,383623,1
48714,546385,1
48714,557418,1
48714,576053,1
48714,667831,1
48714,787210,1
48714,1015210,1
48714,1045730,1
48714,1281090,1
48714,1481609,1
48714,1539011,1
48714,1632492,1
48714,1677786,1
48739,526076,1
48739,1622826,1
48750,273012,1
48750,1370758,1
48797,176351,1
48797,510847,1
48797,549112,1
48797,607696,1
48797,1126131,1
48797,1563394,1
48797,1630443,1
48808,122232,1
48808,465587,1
48808,768447,1
48808,1656632,1
48957,70301,1
48957,898478,1
48957,1133396,1
49168,415697,1
49168,1114942,2
49168,1466891,1
49168,1522366,2
49200,108274,1
49200,131835,1
49200,359002,1
49200,406502,1
49200,461074,1
49200,596719,1
49200,659548,1
49200,682657,1
49200,985671,1
49200,1005627,1
49200,1026080,1
49200,1114529,1
49200,1151784,1
49200,1451569,1
49200,1577739,1
49406,1622840,1
49638,301572,2
49638,303231,2
49638,1594505,2
49644,128758,1
49644,198115,1
49644,327082,1
49644,827780,1
49644,948109,1
49644,1167800,1
49644,1632486,1
49731,69073,1
49731,341250,1
49731,464505,1
49731,512124,1
49731,541196,1
49731,604672,2
49731,636102,1
49731,815125,1
49731,820478,1
49731,895174,1
49731,981982,1
49731,1000443,1
49731,1119921,1
49731,1152330,4
49731,1194519,3
49731,1229380,1
49731,1333706,1
49731,1341769,1
49731,1561351,1
49731,1583634,1
49846,127139,1
50039,732182,1
50039,732725,1
50062,87264,1
50062,849560,1
50062,892292,1
50062,1494679,1
50107,1536424,1
50107,1604579,1
50168,58535,1
50168,208772,1
50168,656503,1
50168,672170,1
50168,839850,1
50168,1292104,1
50396,1082812,1
50426,408579,1
50426,584422,1
50426,1425402,1
50648,506409,1
50648,565893,1
50648,981216,1
50648,1340830,1
50648,1581086,2
50652,546860,1
50652,1366752,1
50695,1186956,1
50695,1462123,1
50865,128170,1
50865,807681,1
50865,1253067,1
50865,1457902,1
50865,1629884,2
50971,169819,1
50971,325490,1
50971,682371,1
50971,735744,1
50971,878129,1
50971,1030030,1
51286,210628,4
51286,301236,1
51286,367820,1
51286,658822,1
51286,942986,4
51789,799913,1
51878,81946,1
51878,1176292,1
51878,1563638,1
51893,525703,1
51893,717757,1
51893,1079137,1
51893,1189781,1
51893,1627114,1
51977,276377,1
51977,485135,1
51977,488362,1
51977,536062,1
51977,618494,2
51977,681324,1
51977,849964,1
51977,946912,1
51977,1078357,1
51977,1110214,1
51977,1131594,1
51977,1133531,1
51977,1138543,1
51977,1348048,1
51977,1511756,1
51977,1681683,1
51977,1690193,1
52178,547244,1
52178,603958,1
52213,854817,1
52245,70562,1
52245,329817,3
52245,341250,4
52245,353281,1
52245,406372,1
52245,456653,1
52245,466059,2
52245,469429,1
52245,470603,1
52245,503293,1
52245,832273,3
52245,919959,1
52245,1127160,1
52245,1166491,1
52245,1514603,1
52245,1575299,1
52245,1623365,1
52245,1665354,2
52250,68688,1
52250,611229,2
52250,1417840,4
52601,468476,1
52601,510165,1
52601,690565,1
52601,750147,1
52601,753132,1
52860,202430,1
52860,351890,1
52860,1154229,1
52860,1498454,1
52878,105404,1
52878,113778,1
52878,543662,2
52878,831418,1
52878,844365,1
52878,942895,1
52878,984499,1
53083,421037,1
53083,556040,1
53083,660338,1
53217,479964,1
53303,285920,4
53303,936729,1
53303,1256383,2
53303,1534453,7
53303,1699157,1
53385,307088,1
53385,1274443,1
53385,1408872,1
53843,406371,1
53907,747061,1
53920,666925,1
54000,149070,1
54000,188086,2
54000,863939,2
54000,1199310,1
54072,446797,1
54072,472439,1
54088,98606,1
54088,114712,1
54088,300896,1
54088,323948,1
54088,339713,1
54088,804254,1
54088,1014935,1
54088,1357288,1
54088,1421264,1
54088,1695675,1
54172,191434,1
54172,995035,1
54172,1555388,1
54172,1652699,1
54348,134551,1
54348,315870,1
54348,462024,1
54348,508666,1
54348,556447,1
54348,626127,1
54348,836218,1
54348,957864,1
54348,1102440,1
54348,1518705,1
54348,1668129,1
54376,77900,1
54529,139507,1
54642,494343,1
54646,339762,1
54646,346809,1
54646,471117,1
54646,723582,1
54646,1666381,1
54657,54996,1
54657,66710,1
54657,93813,1
54657,705583,2
54677,601048,1
54677,641755,1
54677,1157853,1
54870,408661,3
54870,715506,1
54901,152902,1
54901,1128263,1
54927,212953,1
54927,774817,1
54927,1682226,1
54940,90280,1
54940,90329,1
54940,100044,1
54940,134683,1
54940,219214,1
54976,667956,1
54981,93368,2
54981,585020,2
54996,66710,1
54996,93813,1
54996,374304,1
54996,410585,1
54996,486119,1
54996,512597,1
54996,705583,3
54996,938085,1
54996,1173500,1
55045,830534,1
55045,1689103,1
55098,1178523,1
55098,1648038,1
55098,1690953,1
55146,702158,1
55146,761716,1
55146,1228732,1
55150,733128,1
55150,1078041,1
55184,527412,1
55184,1341872,1
55258,317789,1
55258,469932,1
55258,471409,1
55258,502983,1
55258,915383,1
55258,1111973,1
55258,1329048,3
55312,996578,1
55312,1423105,1
55406,308931,1
55406,391241,1
55406,417995,1
55406,691938,1
55450,250732,1
55450,304203,1
55450,1154229,1
55450,1221500,1
55450,1689607,1
55492,57950,1
55492,1605658,1
55522,190521,1
55522,338699,1
55522,709028,1
55522,756639,3
55522,916924,1
55522,944253,1
55522,1146776,1
55522,1487858,1
55522,1487930,1
55744,206051,1
55744,292913,1
55744,783140,1
55744,870345,1
55744,1452313,1
56215,845548,1
56215,1466400,1
56215,1586020,2
56338,510157,1
56338,808663,1
56338,1603618,1
56362,854044,1
56362,1510172,1
56513,1111448,1
56513,1320574,1
56513,1382650,1
56678,486966,1
56678,610000,1
56856,1348695,1
56861,167534,1
56861,1086673,1
56915,122232,1
56915,1281754,1
56955,155730,2
56955,303999,2
56955,362885,1
56955,389776,3
56955,528627,3
56955,615671,1
56955,715868,2
57026,317413,1
57026,1229514,1
57026,1576885,1
57289,88781,1
57289,109476,1
57289,290793,1
57403,210366,1
57403,1402213,1
57449,277028,2
57449,611229,1
57450,503073,1
57450,1491807,1
57526,525274,1
57526,532138,1
57526,790493,1
57526,852556,1
57574,232929,1
57636,125996,1
57636,529841,1
57636,791828,1
57636,1196163,1
57666,60425,2
57666,840172,1
57666,1024326,1
57666,1693277,1
57913,898882,1
57950,450666,4
57950,512124,1
57950,1158202,1
57950,1357252,1
57950,1659584,1
57952,232571,1
57952,598126,1
57952,602526,1
57952,1194519,1
57952,1396050,1
57952,1502620,1
57966,79071,1
57966,121569,1
57966,541992,1
58104,388406,1
58104,879969,1
58104,912289,1
58474,487117,1
58474,488443,1
58474,636922,1
58474,808300,1
58474,1664435,1
58511,323679,1
58511,657194,1
58535,656503,1
58535,1292104,1
58541,289924,1
58644,179063,1
58644,241839,1
58644,1379104,1
58644,1534302,1
58644,1554888,2
58647,339786,1
58647,741194,1
58704,64426,1
58704,216219,1
